Name,Manufacturer,Price,Length,Width,Height,Grip_Type,Image_URL
ENDGAME GEAR OP1 8K,ENDGAME,"99,000",118.2,60.5,37.2,Claw/Fingertip,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/endgame-gear-op1.png?width=800&height=800&resize=contain
ENDGAME GEAR XM2we 유무선,ENDGAME,"142,990",122,66,38,Claw,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/endgame-gear-xm2-wireless.png?width=800&height=800&resize=contain
LAMZU MAYA CHAMPIONS 유무선,LAMZU,"155,520",119,62,38,Universal,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/lamzu-maya-champion-edition.png?width=800&height=800&resize=contain
NZXT LIFT 2 ERGO,NZXT,"79,000",108,70,71,Vertical,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/nzxt-lift-2-ergo.png?width=800&height=800&resize=contain
Pulsar Xlite V3 eS 미디움 유무선,Pulsar,"89,000",122,66,43,Palm,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/pulsar-xlite-es.png?width=800&height=800&resize=contain
RAZER Cobra Pro 무선 충전 팩,RAZER,"238,730",119.6,62.5,38.1,Claw/Fingertip,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/razer-cobra-pro.png?width=800&height=800&resize=contain
Razer Basilisk V3 Pro,Razer,"181,690",130,75.4,42.5,Palm,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/razer-basilisk-v3-pro.png?width=800&height=800&resize=contain
Razer DeathAdder V3,Razer,"69,490",128,68,44,Palm,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/razer-deathadder-v3-pro.png?width=800&height=800&resize=contain
Razer DeathAdder V3 Pro,Razer,"129,800",128,68,44,Palm,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/razer-deathadder-v3-pro-2c.png?width=500&resize=contain
Razer Orochi V2,Razer,"54,500",108,60,38,Fingertip/Claw,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/razer-orochi-v2.png?width=800&height=800&resize=contain
Razer Viper V2 PRO,Razer,"109,890",126.5,66.2,37.8,Claw/Fingertip,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/razer-viper-v2-pro.png?width=800&height=800&resize=contain
Razer Viper V3 Pro,Razer,"196,080",127.1,63.9,39.9,Claw/Palm,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/razer-viper-v3-pro.png?width=800&height=800&resize=contain
VGN F1 MOBA 유무선,VGN,"35,410",121.2,63.5,37.6,Claw,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/vgn-dragonfly-f1.png?width=800&height=800&resize=contain
Logitec G PRO X SUPERLIGHT,Logitec,"121,500",125,63.5,40,Palm/Claw,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/logitech-g-pro-x-superlight.png?width=800&height=800&resize=contain
Logitec G PRO X SUPERLIGHT 2,Logitec,"173,500",125,63.5,40,Palm/Claw,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/logitech-g-pro-x-superlight-2.png?width=800&height=800&resize=contain
Logitec G102 LIGHTSYNC,Logitec,"16,360",116.6,62.15,38.2,Claw/Fingertip,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/logitech-g102-lightsync.png?width=800&height=800&resize=contain
Logitec G502 X,Logitec,"61,690",131.4,79.2,41.1,Palm,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/logitech-g502-x.png?width=800&height=800&resize=contain
Logitec G703,Logitec,"59,610",124,68,43,Palm,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/logitech-g403-wireless.png?width=800&height=800&resize=contain
Logitec G903,Logitec,"102,080",130.3,66.5,40.4,Palm/Claw,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/logitech-g900.png?width=800&height=800&resize=contain
Logitec MX Master 3S,Logitec,"96,150",124.9,84.3,51,Palm,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/logitech-mx-master-3.png?width=800&height=800&resize=contain
Logitec MX VERTICAL,Logitec,"79,000",120,79,78.5,Vertical,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/logitech-mx-vertical.png?width=800&height=800&resize=contain
Asus ROG Gladius II Core,Asus,"104,900",126,67,45,Palm,https://qyjffrmfirkwcwempawu.supabase.co/storage/v1/render/image/public/images/products/asus-rog-gladius-ii-core.png?width=800&height=800&resize=contain
